ticker,strike,expire
ES=F,6429.5,7/15/25
ES=F,6417.5,7/15/25
ES=F,6405.5,7/15/25
ES=F,6393.5,7/15/25
ES=F,6381.5,7/15/25
ES=F,6369.5,7/15/25
ES=F,6357.5,7/15/25
ES=F,6345.5,7/15/25
ES=F,6333.5,7/15/25
ES=F,6321.5,7/15/25
ES=F,6309.5,7/15/25
ES=F,6297.5,7/15/25
ES=F,6285.5,7/15/25
ES=F,6273.5,7/15/25
ES=F,6261.5,7/15/25
ES=F,6249.5,7/15/25
ES=F,6237.5,7/15/25
ES=F,6225.5,7/15/25
ES=F,6213.5,7/15/25
ES=F,6201.5,7/15/25
ES=F,6189.5,7/15/25
NQ=F,23515.5,7/15/25
NQ=F,23467.5,7/15/25
NQ=F,23419.5,7/15/25
NQ=F,23371.5,7/15/25
NQ=F,23323.5,7/15/25
NQ=F,23275.5,7/15/25
NQ=F,23227.5,7/15/25
NQ=F,23179.5,7/15/25
NQ=F,23131.5,7/15/25
NQ=F,23083.5,7/15/25
NQ=F,23035.5,7/15/25
NQ=F,22987.5,7/15/25
NQ=F,22939.5,7/15/25
NQ=F,22891.5,7/15/25
NQ=F,22843.5,7/15/25
NQ=F,22795.5,7/15/25
NQ=F,22747.5,7/15/25
NQ=F,22699.5,7/15/25
NQ=F,22651.5,7/15/25
NQ=F,22603.5,7/15/25
NQ=F,22555.5,7/15/25
YM=F,45676,7/15/25
YM=F,45576,7/15/25
YM=F,45476,7/15/25
YM=F,45376,7/15/25
YM=F,45276,7/15/25
YM=F,45176,7/15/25
YM=F,45076,7/15/25
YM=F,44976,7/15/25
YM=F,44876,7/15/25
YM=F,44776,7/15/25
YM=F,44676,7/15/25
YM=F,44576,7/15/25
YM=F,44476,7/15/25
YM=F,44376,7/15/25
YM=F,44276,7/15/25
YM=F,44176,7/15/25
YM=F,44076,7/15/25
YM=F,43976,7/15/25
YM=F,43876,7/15/25
YM=F,43776,7/15/25
RTY=F,2301.2,7/15/25
RTY=F,2297.2,7/15/25
RTY=F,2293.2,7/15/25
RTY=F,2289.2,7/15/25
RTY=F,2285.2,7/15/25
RTY=F,2281.2,7/15/25
RTY=F,2277.2,7/15/25
RTY=F,2273.2,7/15/25
RTY=F,2269.2,7/15/25
RTY=F,2265.2,7/15/25
RTY=F,2261.2,7/15/25
RTY=F,2257.2,7/15/25
RTY=F,2253.2,7/15/25
RTY=F,2249.2,7/15/25
RTY=F,2245.2,7/15/25
RTY=F,2241.2,7/15/25
RTY=F,2237.2,7/15/25
RTY=F,2233.2,7/15/25
RTY=F,2229.2,7/15/25
RTY=F,2225.2,7/15/25
RTY=F,2221.2,7/15/25
CL=F,74.25,7/15/25
CL=F,73.25,7/15/25
CL=F,72.25,7/15/25
CL=F,71.25,7/15/25
CL=F,70.25,7/15/25
CL=F,69.25,7/15/25
CL=F,68.25,7/15/25
CL=F,67.25,7/15/25
CL=F,66.25,7/15/25
CL=F,65.25,7/15/25
CL=F,64.25,7/15/25
CL=F,63.25,7/15/25
CL=F,62.25,7/15/25
GC=F,3412.3,7/15/25
GC=F,3406.3,7/15/25
GC=F,3400.3,7/15/25
GC=F,3394.3,7/15/25
GC=F,3388.3,7/15/25
GC=F,3382.3,7/15/25
GC=F,3376.3,7/15/25
GC=F,3370.3,7/15/25
GC=F,3364.3,7/15/25
GC=F,3358.3,7/15/25
GC=F,3352.3,7/15/25
GC=F,3346.3,7/15/25
GC=F,3340.3,7/15/25
GC=F,3334.3,7/15/25
GC=F,3328.3,7/15/25
GC=F,3322.3,7/15/25
GC=F,3316.3,7/15/25
GC=F,3310.3,7/15/25
GC=F,3304.3,7/15/25
GC=F,3298.3,7/15/25
GC=F,3292.3,7/15/25
NG=F,3.68,7/15/25
NG=F,3.64,7/15/25
NG=F,3.6,7/15/25
NG=F,3.56,7/15/25
NG=F,3.52,7/15/25
NG=F,3.48,7/15/25
NG=F,3.44,7/15/25
NG=F,3.4,7/15/25
NG=F,3.36,7/15/25
NG=F,3.32,7/15/25
NG=F,3.28,7/15/25
NG=F,3.24,7/15/25
NG=F,3.2,7/15/25
NG=F,3.16,7/15/25
NG=F,3.12,7/15/25
EURUSD=X,1.178,7/15/25
EURUSD=X,1.176,7/15/25
EURUSD=X,1.174,7/15/25
EURUSD=X,1.172,7/15/25
EURUSD=X,1.17,7/15/25
EURUSD=X,1.168,7/15/25
EURUSD=X,1.166,7/15/25
EURUSD=X,1.164,7/15/25
EURUSD=X,1.162,7/15/25
EURUSD=X,1.16,7/15/25
EURUSD=X,1.158,7/15/25
EURUSD=X,1.156,7/15/25
EURUSD=X,1.154,7/15/25
USDJPY=X,149,7/15/25
USDJPY=X,148.6,7/15/25
USDJPY=X,148.2,7/15/25
USDJPY=X,147.8,7/15/25
USDJPY=X,147.4,7/15/25
USDJPY=X,147,7/15/25
USDJPY=X,146.6,7/15/25
USDJPY=X,146.2,7/15/25
USDJPY=X,145.8,7/15/25
GBPUSD=X,1.366,7/15/25
GBPUSD=X,1.362,7/15/25
GBPUSD=X,1.358,7/15/25
GBPUSD=X,1.354,7/15/25
GBPUSD=X,1.35,7/15/25
GBPUSD=X,1.346,7/15/25
GBPUSD=X,1.342,7/15/25
GBPUSD=X,1.338,7/15/25
GBPUSD=X,1.334,7/15/25
GBPUSD=X,1.33,7/15/25
GBPUSD=X,1.326,7/15/25
GBPUSD=X,1.322,7/15/25
GBPUSD=X,1.318,7/15/25
AUDUSD=X,0.664,7/15/25
AUDUSD=X,0.662,7/15/25
AUDUSD=X,0.66,7/15/25
AUDUSD=X,0.658,7/15/25
AUDUSD=X,0.656,7/15/25
AUDUSD=X,0.654,7/15/25
AUDUSD=X,0.652,7/15/25
AUDUSD=X,0.65,7/15/25
AUDUSD=X,0.648,7/15/25
AUDUSD=X,0.646,7/15/25
AUDUSD=X,0.644,7/15/25
EURJPY=X,173.4,7/15/25
EURJPY=X,173.3,7/15/25
EURJPY=X,173.2,7/15/25
EURJPY=X,173.1,7/15/25
EURJPY=X,173,7/15/25
EURJPY=X,172.9,7/15/25
EURJPY=X,172.8,7/15/25
EURJPY=X,172.7,7/15/25
EURJPY=X,172.6,7/15/25
EURJPY=X,172.5,7/15/25
EURJPY=X,172.4,7/15/25
EURJPY=X,172.3,7/15/25
EURJPY=X,172.2,7/15/25
EURJPY=X,172.1,7/15/25
EURJPY=X,172,7/15/25
EURJPY=X,171.9,7/15/25
EURJPY=X,171.8,7/15/25
EURJPY=X,171.7,7/15/25
EURJPY=X,171.6,7/15/25
EURJPY=X,171.5,7/15/25
EURJPY=X,171.4,7/15/25
GBPJPY=X,198.8,7/15/25
GBPJPY=X,198.6,7/15/25
GBPJPY=X,198.4,7/15/25
GBPJPY=X,198.2,7/15/25
GBPJPY=X,198,7/15/25
GBPJPY=X,197.8,7/15/25
GBPJPY=X,197.6,7/15/25
GBPJPY=X,197.4,7/15/25
GBPJPY=X,197.2,7/15/25
GBPJPY=X,197,7/15/25
GBPJPY=X,196.8,7/15/25
GBPJPY=X,196.6,7/15/25
GBPJPY=X,196.4,7/15/25
